employee_id,employee_code,first_name,last_name,full_name,gender,date_of_birth,email,phone_number,branch_id,department,designation,manager_id,joining_date,experience_years,salary,employment_type,performance_rating,employee_status
1,BKAIEMP356787,Daksh,Bakshi,Daksh Bakshi,Male,1991-07-13,daksh.bakshi1@bankai.com,3321819600,18,Corporate Banking,Assistant Manager,1.0,2008-07-08,17,73825,Permanent,2.7,Active
2,BKAIEMP539898,Zayyan,Bala,Zayyan Bala,Male,1991-07-13,zayyan.bala2@bankai.com,8637940265,58,Information Technology,Customer Service Executive,2.0,2026-07-04,34,30231,Permanent,3.4,Active
3,BKAIEMP498382,Pahal,Chaudry,Pahal Chaudry,Female,1999-07-11,pahal.chaudry3@bankai.com,6155940781,46,Finance,Cashier,3.0,2018-07-06,5,26423,Permanent,3.8,Inactive
4,BKAIEMP705397,Manan,Pathak,Manan Pathak,Male,1993-07-12,manan.pathak4@bankai.com,1034131647,91,Corporate Banking,Customer Service Executive,1.0,2019-07-06,23,34482,Contract,4.6,Active
5,BKAIEMP270555,Peter,Kadakia,Peter Kadakia,Male,1982-07-15,peter.kadakia5@bankai.com,1928327648,46,Operations,Cashier,3.0,2006-07-09,23,27339,Permanent,2.9,Active
6,BKAIEMP330283,Ishwar,Balay,Ishwar Balay,Male,1985-07-14,ishwar.balay6@bankai.com,6413953767,99,Retail Banking,Cashier,2.0,2025-07-04,35,35336,Permanent,2.7,Active
7,BKAIEMP787277,Jatin,Yohannan,Jatin Yohannan,Male,1974-07-17,jatin.yohannan7@bankai.com,9696532871,51,Compliance,Operations Executive,2.0,2018-07-06,13,34575,Permanent,3.9,Active
8,BKAIEMP479580,Fariq,Sami,Fariq Sami,Male,1991-07-13,fariq.sami8@bankai.com,6697848018,18,Human Resources,Credit Analyst,8.0,2024-07-04,25,53087,Permanent,2.9,Active
9,BKAIEMP500156,Manan,Saran,Manan Saran,Male,1967-07-19,manan.saran9@bankai.com,7048281489,60,Human Resources,Customer Service Executive,5.0,2009-07-08,24,25376,Permanent,2.8,Active
10,BKAIEMP216970,Gaurika,Zacharia,Gaurika Zacharia,Female,1987-07-14,gaurika.zacharia10@bankai.com,9570154303,56,Loans,Operations Executive,8.0,2026-07-04,21,53661,Permanent,3.2,Active
11,BKAIEMP982554,Xavier,Biswas,Xavier Biswas,Male,1973-07-17,xavier.biswas11@bankai.com,2782489638,78,Operations,Credit Analyst,3.0,2015-07-07,19,60587,Permanent,4.4,Active
12,BKAIEMP217301,Rachit,Sarma,Rachit Sarma,Male,1982-07-15,rachit.sarma12@bankai.com,1331509839,40,Operations,Cashier,1.0,2019-07-06,1,43591,Contract,2.7,Active
13,BKAIEMP234628,Ayushman,Karnik,Ayushman Karnik,Male,1975-07-17,ayushman.karnik13@bankai.com,0518347382,71,Loans,Operations Executive,5.0,2010-07-08,8,49876,Permanent,3.0,Active
14,BKAIEMP518373,Keya,Solanki,Keya Solanki,Female,1982-07-15,keya.solanki14@bankai.com,3116566701,57,Human Resources,Relationship Manager,8.0,2023-07-05,19,61246,Permanent,3.3,Active
15,BKAIEMP842225,Chatura,Kothari,Chatura Kothari,Male,2002-07-10,chatura.kothari15@bankai.com,3872624731,30,Corporate Banking,Loan Officer,15.0,2025-07-04,4,56654,Permanent,3.1,Active
16,BKAIEMP354801,Aryan,Zachariah,Aryan Zachariah,Male,1975-07-17,aryan.zachariah16@bankai.com,1326773602,53,Operations,Relationship Manager,4.0,2023-07-05,30,73249,Permanent,3.5,Active
17,BKAIEMP163556,Kevin,Sha,Kevin Sha,Male,1980-07-15,kevin.sha17@bankai.com,6872343098,94,Finance,Customer Service Executive,4.0,2019-07-06,6,31278,Permanent,3.6,Active
18,BKAIEMP564656,Aryan,Sood,Aryan Sood,Male,1970-07-18,aryan.sood18@bankai.com,0812191361,13,Retail Banking,Loan Officer,18.0,2026-07-04,4,41112,Contract,4.6,Active
19,BKAIEMP161483,Anmol,Bumb,Anmol Bumb,Male,1995-07-12,anmol.bumb19@bankai.com,9985435346,49,Retail Banking,Relationship Manager,13.0,2018-07-06,25,74819,Permanent,4.2,Active
20,BKAIEMP262316,Nisha,Bora,Nisha Bora,Female,1993-07-12,nisha.bora20@bankai.com,7991183842,38,Operations,Customer Service Executive,2.0,2008-07-08,31,42766,Permanent,3.3,Active
21,BKAIEMP265080,Qasim,Mane,Qasim Mane,Male,2002-07-10,qasim.mane21@bankai.com,7849808412,66,Corporate Banking,Credit Analyst,6.0,2024-07-04,33,88996,Permanent,4.7,Active
22,BKAIEMP749468,Garima,Magar,Garima Magar,Female,2000-07-10,garima.magar22@bankai.com,9353487401,54,Information Technology,Customer Service Executive,19.0,2010-07-08,2,35366,Contract,3.0,Active
23,BKAIEMP579434,Aarav,Nath,Aarav Nath,Male,1985-07-14,aarav.nath23@bankai.com,4278680112,97,Corporate Banking,Cashier,1.0,2012-07-07,19,43448,Contract,2.7,Active
24,BKAIEMP356150,Ethan,Sani,Ethan Sani,Male,1982-07-15,ethan.sani24@bankai.com,0450533158,37,Loans,Clerk,15.0,2009-07-08,4,33526,Permanent,5.0,Active
25,BKAIEMP413921,Jagat,Gaba,Jagat Gaba,Male,1999-07-11,jagat.gaba25@bankai.com,6025634216,18,Customer Service,Customer Service Executive,4.0,2023-07-05,35,43128,Permanent,3.2,Active
26,BKAIEMP629959,Harish,Sharma,Harish Sharma,Male,1974-07-17,harish.sharma26@bankai.com,4330365414,33,Retail Banking,Operations Executive,3.0,2006-07-09,16,43879,Permanent,2.6,Active
27,BKAIEMP877236,Noah,Bala,Noah Bala,Male,1977-07-16,noah.bala27@bankai.com,4294019655,71,Risk Management,Clerk,18.0,2026-07-04,10,23832,Permanent,4.7,Active
28,BKAIEMP255287,Dalbir,Rajan,Dalbir Rajan,Male,1978-07-16,dalbir.rajan28@bankai.com,4060883561,17,Retail Banking,Sales Executive,10.0,2015-07-07,35,59457,Contract,4.9,Active
29,BKAIEMP470858,David,Mital,David Mital,Male,1970-07-18,david.mital29@bankai.com,6564823662,53,Information Technology,Operations Executive,24.0,2022-07-05,6,37757,Permanent,4.9,Active
